Topic	Primary source URL	Used for	Verified	Source ID	Verified by	Next review trigger	Change records
Google common crawlers	https://developers.google.com/crawling/docs/crawlers-fetchers/google-common-crawlers	0.6/2.9: Google-Extended is a product token without a separate HTTP UA, with specified Gemini training/grounding scope and no ordinary Google Search inclusion/ranking effect.	2026-09-09	SRC084	Codex - prior document verification recorded in Order 12	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00761; CHG00762; CHG00763; CHG00764
Anthropic bots	https://support.claude.com/en/articles/8896518-does-anthropic-crawl-data-from-the-web-and-how-can-site-owners-block-the-crawler	0.6/2.9: ClaudeBot training, Claude-SearchBot search and Claude-User user-directed retrieval, with provider-documented robots compliance and identity guidance.	2026-09-09	SRC085	Codex - prior document verification recorded in Order 12	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00765; CHG00766; CHG00767; CHG00768
Perplexity crawlers	https://docs.perplexity.ai/docs/resources/perplexity-crawlers	0.6/2.9: PerplexityBot search versus Perplexity-User requested fetches that generally ignore robots; current identity/IP guidance, no inferred training scope.	2026-09-09	SRC086	Codex - prior document verification recorded in Order 12	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00769; CHG00770; CHG00771; CHG00772
Search Console property types	https://support.google.com/webmasters/answer/34592?hl=en	2.4/5.4: Domain versus URL-prefix scope/verification and monitoring access; adding a property is not a website Search or ranking prerequisite.	2026-09-09	SRC087	Codex - prior document verification recorded in Order 12	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00773; CHG00774; CHG00775; CHG00776
Verify site ownership	https://support.google.com/webmasters/answer/9008080?hl=en	2.4: durable supported verification, retaining tokens, accountable verified ownership and recovery; multiple owners/methods possible without an arbitrary two-owner requirement.	2026-09-09	SRC088	Codex - prior document verification recorded in Order 12	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00777; CHG00778; CHG00779; CHG00780
Bing snippet controls	https://blogs.bing.com/webmaster/October-2025/Bing-Introduces-Support-for-the-data-nosnippet-HTML-Attribute	2.9/5.8: Bing data-nosnippet suppresses marked content in snippets/AI summaries while keeping it indexable; verify provider-specific directives rather than copying Google semantics.	2026-09-09	SRC089	Codex - prior document verification recorded in Order 12	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00781; CHG00782; CHG00783; CHG00784
Bing AI Performance	https://blogs.bing.com/webmaster/February-2026/Introducing-AI-Performance-in-Bing-Webmaster-Tools-Public-Preview	6.4: optional public-preview AI citations, cited pages and sampled grounding queries. These are not clicks, rankings or comprehensive AI visibility. General Bing crawl/index follow-up is an operating procedure supported separately by the sitemap guidance.	2026-09-11	SRC090	Codex - primary documentation verified2026-09-11	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00785; CHG00786; CHG00787; CHG00788; CHG01100; CHG01101; CHG01102
Bing sitemap guidance	https://blogs.bing.com/webmaster/July-2025/Keeping-Content-Discoverable-with-Sitemaps-in-AI-Powered-Search	5.8/6.1: selected Bing sitemap discovery/processing follow-up; submission, crawl and indexing are distinct stages and no display guarantee follows.	2026-09-09	SRC091	Codex - prior document verification recorded in Order 12	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00789; CHG00790; CHG00791; CHG00792
INP historical date	https://web.dev/blog/responsiveness	H07 source correction for 4.5/6.2: the page's current notice states INP replaced FID on 2024-03-12. Retain current metric controls; do not describe this as an August/September 2026 launch rule.	2026-09-09	SRC092	Codex - prior document verification recorded in Order 12	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00793; CHG00794; CHG00795; CHG00796
Googlebot fetch-limit history	https://developers.google.com/search/blog/2026/03/crawler-blog-post	H07 source correction for 1.5: 2026-03-31 publication already documents 2 MB per-resource/64MB PDF limits. Use current Googlebot documentation for implementation; screenshot novelty claim is unsupported.	2026-09-09	SRC093	Codex - prior document verification recorded in Order 12	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00797; CHG00798; CHG00799; CHG00800
Google technical requirements	https://developers.google.com/search/docs/essentials/technical	E02: basic technical indexing eligibility is distinct from project release dependencies; indexing is not guaranteed.	2026-09-10	SRC094	Codex - prior document verification recorded in Order 14	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00933; CHG00934; CHG00935; CHG00936
Search Essentials	https://developers.google.com/search/docs/essentials	E02: distinguish technical eligibility, spam policies and helpful-content/crawlable-link best practices.	2026-09-10	SRC095	Codex - prior document verification recorded in Order 14	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00937; CHG00938; CHG00939; CHG00940
Sitemap use decision	https://developers.google.com/search/docs/crawling-indexing/sitemaps/overview	2.1 / 5.4: sitemaps aid discovery and often help new/complex sites; an appropriate approved omission does not itself prevent indexing.	2026-09-10	SRC096	Codex - prior document verification recorded in Order 14	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00941; CHG00942; CHG00943; CHG00944
Page experience and ranking	https://developers.google.com/search/docs/appearance/page-experience	E02 / 6.2: Google uses Core Web Vitals in ranking; other page-experience work and reporting scores do not constitute a universal ranking score or guarantee.	2026-09-10	SRC097	Codex - prior document verification recorded in Order 14	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00945; CHG00946; CHG00947; CHG00948
Image text alternatives	https://www.w3.org/WAI/tutorials/images/	2.2: actual informative, functional and decorative image inventory determines applicable text-alternative checks.	2026-09-10	SRC098	Codex - prior document verification recorded in Order 14	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00949; CHG00950; CHG00951; CHG00952
Historical reference: Search Console generative AI control	https://blog.google/products-and-platforms/products/search/new-controls-website-owners/	Historical only - not current support. Existence, scope and limits of the AI Overviews / AI Mode / Discover opt-out toggle	2026-08-26	SRC099	Not recorded (legacy workbook row)	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00801; CHG00802; CHG00803; CHG00804; CHG01086
Historical reference: Generative AI performance reports	https://developers.google.com/search/blog/2026/06/gen-ai-performance-reports	Historical only - not current support. Search Console generative-AI reporting scope and subset rollout	2026-08-26	SRC100	Not recorded (legacy workbook row)	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00805; CHG00806; CHG00807; CHG00808; CHG01087
Historical reference: Search Console Search Analytics API	https://developers.google.com/webmaster-tools/v1/searchanalytics/query	Historical only - not current support. FAQ search-appearance API deprecation in August 2026	2026-08-26	SRC101	Not recorded (legacy workbook row)	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00518; CHG00519; CHG00520; CHG00521; CHG01088
Historical reference: International sites	https://developers.google.com/search/docs/advanced/crawling/managing-multi-regional-sites	Historical only - not current support. Locale URLs and automatic redirect cautions	2026-08-26	SRC102	Not recorded (legacy workbook row)	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00369; CHG00370; CHG00371; CHG00372; CHG01089
Crawlable links and anchor text	https://developers.google.com/search/docs/crawling-indexing/links-crawlable	1.2 / 3.3: crawlable anchors and href attributes, descriptive contextual links and links to important pages. Few clicks is a project usability target, not a numeric Google rule.	2026-09-10	SRC103	Codex - document verification2026-09-10	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG01090
Title links in Search	https://developers.google.com/search/docs/appearance/title-link	3.1: descriptive distinct titles, a clear main visual heading, avoiding keyword repetition and boilerplate. Search title links are generated automatically; the page does not impose a fixed character limit.	2026-09-10	SRC104	Codex - document verification2026-09-10	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG01091
Meta descriptions and snippets	https://developers.google.com/search/docs/appearance/snippet	3.2: accurate page-specific descriptions; Google may select page content and vary snippets by query. Snippet truncation is display-dependent, with no fixed meta-description length limit.	2026-09-10	SRC105	Codex - document verification2026-09-10	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG01092
LCP resource discovery and priority	https://web.dev/articles/optimize-lcp	1.9: avoid lazy-loading the LCP image and make its resource discoverable promptly. This is performance guidance, not a requirement to adopt SSR.	2026-09-10	SRC106	Codex - document verification2026-09-10	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG01093
Responsive image sizing and loading	https://web.dev/learn/design/responsive-images	1.9: reserve image dimensions, use srcset/sizes for appropriate assets and lazy-load suitable below-fold images. Verify the actual chosen resources and page layout.	2026-09-10	SRC107	Codex - document verification2026-09-10	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG01094
Open Graph protocol	https://ogp.me/	2.8: the basic required properties are og:title, og:type, og:image and og:url; og:description is optional recommended metadata. Additional properties depend on the chosen object type.	2026-09-10	SRC108	Codex - document verification2026-09-10	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG01095
