ID	Phase	Priority	Applies to	Applies?	Launch gate?	Task	What to do	Done when	Owner	Tools	Review cadence	Due date	Notes	Status	Evidence	Profile
3.13	3 — Content & trust	P0	Sites allowing public UGC, marketplace listings, partner pages or other third-party content	Review	Yes	UGC, marketplace and third-party content governance	Define moderation, spam prevention, publishing thresholds and indexation rules for user/partner content before it can create large crawlable sections. Qualify paid/advertising links with sponsored and user-generated links with ugc where appropriate. Prevent scaled low-value pages, parasitic third-party publishing and unmanaged profile/listing spam from becoming an indexable acquisition strategy. For ratings and reviews, prohibit fabricated submissions, undisclosed incentives and incentives conditioned on positive sentiment; define disclosure, moderation and takedown evidence.	Moderation and escalation owners exist; low-value/spam UGC cannot create uncontrolled indexable inventory; paid and UGC links are qualified where required; third-party publishing rules align with search spam policies. Review records show provenance, moderation decisions and any required incentive disclosure.	Trust & safety + business + SEO + developer	Moderation tools; crawler; Search Console; spam policy review	Before UGC/marketplace launch; monitor continuously		New in v4.3. Conditional launch gate for public/third-party content surfaces. See Sources: spam policies and outbound-link qualification.	Not started		Core
4.1	4 — Pre-launch QA	P0	All sites	Yes	Yes	Full staging crawl: raw HTML and rendered output	Crawl the release candidate before launch with raw-HTML and JavaScript rendering modes for status codes, titles, headings, canonicals, directives, links, assets and orphan detection. Production crawling is a separate launch-day row.	No unexplained critical difference exists between raw and rendered output; priority URLs have no broken links, missing metadata or indexation conflicts.	SEO + developer	Screaming Frog (JS rendered); Sitebulb	Before launch and after big releases		v4: split staging QA from the production crawl.	Not started		Core
4.2	4 — Pre-launch QA	P0	All sites	Yes	Yes	Indexability-matrix reconciliation	Compare the crawl against the 0.3 matrix for expected status, index directive, canonical, sitemap inclusion, internal links, locale and launch criticality. Resolve every mismatch explicitly.	Every launch URL pattern matches the approved matrix; exceptions have an owner, reason and launch decision.	SEO + developer	Crawler export; URL-pattern matrix	Immediately before launch			Not started		Extended
4.3	4 — Pre-launch QA	P0	All sites	Yes	Yes	Mobile, forms, cookie and critical-journey QA	Test priority templates and conversion journeys on real phones and keyboards. Check forms, validation, labels, focus, contrast, tap targets, zoom, navigation and cookie interactions; avoid intrusive interstitials.	Mobile forms work; banner does not permanently block content; usable controls.	Designer + developer	Real devices; Lighthouse a11y	Launch		Good accessibility overlaps with good SEO.	Not started		Core
4.4	4 — Pre-launch QA	P0	All sites; conformance target follows the 0.9 scope	Yes	Yes	Automated and manual accessibility conformance QA	Test representative templates with automated tools and human evaluation: keyboard-only operation, visible focus, screen-reader sampling, accessible names, reflow/zoom, form errors, landmarks, dialogs, motion, captions and critical status messages.	No critical barrier blocks content or conversion; applicable conformance evidence, known exceptions, owners and remediation dates are documented.	Accessibility + designer + developer	axe; Lighthouse; keyboard; screen reader; WCAG checklist; Sources sheet	Before launch and after critical UI changes		New in v4. Automated tools alone cannot establish conformance. See Sources: WCAG and evaluation.	Not started		Extended
4.5	4 — Pre-launch QA	P0	All sites	Yes	Yes	Representative-template lab performance QA	Run the agreed lab profile on the homepage and every major template. Inspect the actual LCP resource, render-blocking work, layout shifts, long tasks and third-party code; compare with the 1.5 budget.	Every launch template passes the approved lab budget or has a signed exception with user impact, owner and remediation date.	Developer + performance owner	Lighthouse CI; WebPageTest; browser performance panel	Before launch and major releases			Not started		Core
4.6	4 — Pre-launch QA	P0	Sites implementing structured data	Review	Yes	Structured-data validation and visible-content parity	Validate every marked template in both Schema.org Validator and any relevant rich-result test. Compare names, offers, availability, ratings, dates and authors with visible content and source data.	No relevant errors or misleading mismatches remain; required and recommended properties have documented decisions.	SEO	Rich Results Test	Each new schema type		v4: conditional launch gate when schema is actually shipped.	Not started		Core
4.7	4 — Pre-launch QA	P0	Sites using analytics, conversion tags or consent controls	Review	Yes	Analytics, conversion and consent QA matrix	Test pageviews and conversions across consent granted, denied, withdrawn, direct, organic, campaign, cross-domain and error paths. Check duplicates, values, source attribution, storage and console/network errors.	A dated matrix proves expected behavior for each applicable state and journey; defects have owners and retest evidence.	Analytics + privacy + developer	Analytics debugger; Tag Assistant; network/storage tools	Immediately before launch			Not started		Core
4.8	4 — Pre-launch QA	P0	Migration / redesign / domain or URL change	Review	Yes	Migration redirect, content-parity and rollback rehearsal	Test the complete redirect map before cutover, including query/host variants and high-value backlinks. Compare old and new content, metadata, canonicals, internal links, sitemaps and structured data; rehearse rollback.	High-value and sampled long-tail URLs resolve to relevant equivalents without chains; parity gaps are signed off; rollback succeeds in a controlled test.	SEO + developer + operations	Old/new crawl diff; redirect tester; analytics/GSC baseline	Immediately before cutover			Not started		Core
4.9	4 — Pre-launch QA	P0	Multilingual / multi-country	Review	Yes	International crawl and hreflang QA	Crawl every launch locale for status, self-canonical, language, reciprocal hreflang, fallback, localized links and accidental redirects. Verify locale content and conversion parity.	Hreflang clusters are complete and reciprocal; locales are indexable, localized and reachable without forced routing.	SEO + localization + developer	Crawler; hreflang validator; locale QA matrix	Before each locale launch			Not started		Core
4.10	4 — Pre-launch QA	P0	E-commerce / product catalogue	Review	Yes	Product, checkout, variant, feed and policy QA	Test product states, variants, categories, filters, cart/checkout, price/currency, availability, shipping, returns, structured data and Merchant Center feed parity on representative products.	No duplicate variant trap, price/feed mismatch, orphan product, broken checkout or misleading product markup remains.	Developer + merchandising + SEO + business	Crawler; Rich Results Test; Merchant Center; checkout test	Before launch and catalogue platform changes			Not started		Core
4.11	4 — Pre-launch QA	P1	All sites	Yes	No	Dated pre-launch crawl, performance and visibility baseline	Archive a dated baseline before go-live: full crawl export, CWV field/lab numbers, schema validation output, and (if replacing a live site) current rankings, traffic and top landing pages. Store it with the project.	Dated export set is stored and findable; anyone can compare post-launch numbers against it.	SEO	Screaming Frog export; PageSpeed; GSC export; analytics export	Once, immediately before launch		v4: P1 for new sites; migration-critical baseline evidence is required in 0.8 and 4.8.	Not started		Core
4.12	4 — Pre-launch QA	P0	All sites	Yes	Yes	Backup, rollback and launch-owner rehearsal	Confirm backups are current, the previous release is restorable, credentials and owners are available, and rollback thresholds for availability, indexability and conversions are measurable during the launch window.	A timed rehearsal or equivalent proof demonstrates restoration within the recovery target; launch contacts and escalation order are current.	Operations + developer + business	Runbook; hosting platform; monitoring	Immediately before launch			Not started		Extended
5.1	5 — Launch day	P0	All sites	Yes	Yes	DNS cutover and production smoke test	After cutover, verify DNS, certificates, preferred host, homepage and priority statuses, robots.txt, sitemap, canonicals, forms, critical journeys, assets and availability on the public hostname.	The production smoke checklist is signed off during the launch window and monitoring shows no critical availability or indexability defect.	Developer + SEO	Browser; curl; URL Inspection	Launch day		v4: migration redirects moved to their own conditional row.	Not started		Core
5.2	5 — Launch day	P0	Migration / redesign / domain or URL change	Review	Yes	Migration redirects live before traffic cutover	Deploy and verify the approved redirect map before switching traffic. Recheck priority and sampled long-tail old URLs, chains, canonicals, internal links, new sitemap and any required change-of-address workflow. For domain or subdomain moves, submit and verify Change of Address for every applicable source property variant after redirects are live.	Old URLs resolve immediately to relevant new equivalents; no critical chain, loop, mass-homepage redirect or missing high-value mapping exists. Applicable domain-variant properties show completed Change of Address steps and remain verified for monitoring.	Developer + SEO	Old-site crawl; redirect tester; GSC	Before and immediately after cutover		v3: priority normalised to P0; the condition lives in "Applies to".	Not started		Core
5.3	5 — Launch day	P0	All sites	Yes	Yes	Production crawl and indexability verification	Crawl the public site after launch and reconcile status, robots, canonicals, metadata, internal links, sitemap URLs and rendered content against the signed release candidate and indexability matrix.	No critical production-only difference or blocked priority URL remains; exceptions have owners and immediate decisions.	SEO + developer	Crawler; URL Inspection; crawl diff	Launch day and after emergency fixes			Not started		Core
5.4	5 — Launch day	P0	All sites	Yes	Yes	Submit sitemap and inspect priority URLs	Submit the production sitemap in the already verified Search Console property. Inspect the homepage and priority templates for live response, rendered HTML, indexing permission and selected canonical.	The sitemap is accepted/readable and live inspection sees the intended canonical, directives and content on priority URLs.	SEO	Google Search Console; URL Inspection	Launch day		v4: Search Console ownership moved earlier; Bing is a separate P1 row.	Not started		Core
5.5	5 — Launch day	P0	All sites	Yes	Yes	Availability, indexability and canonical canaries	Alert on uptime, 5xx, DNS/SSL expiry, robots.txt changes, sitemap failure, canonical changes and unexpected noindex on representative priority URLs. Test alert plumbing safely in staging or with a synthetic fixture, not by breaking production.	A safe test reaches a monitored human within the target time; alert owners, severity and response steps are documented.	Developer	Uptime monitor (Better Stack, Cronitor, UptimeRobot); scheduled GitHub Action; GSC alerts	Launch day; verify monthly		v4: adds DNS/SSL and sitemap monitoring and removes destructive production testing.	Not started		Core
5.6	5 — Launch day	P0	Sites using analytics or conversion measurement	Review	Yes	Live analytics and conversion smoke test	Complete real production journeys and verify pageviews, consent state, conversion events, source attribution, value and deduplication without exposing personal or test data improperly.	Production analytics receives one accurate event per test action and rejected-consent paths remain functional.	Analytics + business + developer	Analytics realtime/debug view; tag debugger; transaction records	Launch day			Not started		Core
5.7	5 — Launch day	P0	All sites	Yes	Yes	Launch decision and rollback window	Compare production evidence with agreed availability, indexability, performance and conversion thresholds. Keep the release team available until the decision window closes; roll back when a trigger is met.	A named decision owner records GO, remediate-in-place or rollback with evidence and timestamps.	Launch owner + developer + SEO + business	Launch runbook; monitoring; crawl; analytics	Launch window			Not started		Extended
5.8	5 — Launch day	P1	Sites prioritizing Bing	Review	No	Bing Webmaster Tools onboarding	Verify the site and submit the production sitemap in Bing Webmaster Tools; confirm any IndexNow integration if adopted.	The property is owned, sitemap accepted and optional IndexNow submission recorded.	SEO	Bing Webmaster Tools	Launch week			Not started		Extended
6.1	6 — First 30 days	P1	All sites	Yes	No	Indexation review	Compare submitted, crawled, canonical and indexed URLs by template; inspect homepage and priority pages; assign causes and owners for exclusions or duplicate-canonical selections.	Known blockers have owners and fixes.	SEO	GSC Pages / URL Inspection	Weekly for 30 days			Not started		Core
6.2	6 — First 30 days	P1	All sites	Yes	No	Field performance and real-user monitoring	Review RUM immediately where available and CrUX/Search Console once sufficient rolling field data exists. Evaluate LCP, INP and CLS at the 75th percentile by major template; keep lab testing for diagnosis.	Field regressions and segments have owners; lack of CrUX coverage is recorded rather than treated as a pass.	Developer	PageSpeed Insights; GSC CWV	Weekly for 30 days		v4: phase-6 P0 removed and field/lab evidence separated.	Not started		Extended
6.3	6 — First 30 days	P1	All sites	Yes	No	Reporting rhythm and anomaly thresholds	Track queries, clicks, conversions, indexation, crawl errors, CWV and content gaps. Define traffic, conversion and indexed-page anomaly thresholds, reporting lag and the owner who investigates.	A weekly report and actionable alert thresholds exist; every material anomaly has a documented disposition.	SEO / business	GSC + analytics	Weekly 30 days; then monthly			Not started		Core
6.4	6 — First 30 days	P1	Sites with available AI-search reporting or meaningful AI referrals	Review	No	AI search visibility baseline	Establish how the site appears in AI answers where reporting is available: use Search Console's dedicated Generative AI performance views, add an analytics segment for referrals from chatgpt.com, perplexity.ai, copilot and similar, and spot-check a small set of real brand/category prompts. Treat the Search Console reports as rollout-dependent and record the earliest available reporting date rather than fabricating a pre-launch history.	A dated baseline of available AI impressions and AI referral sessions exists; reporting availability/start date is recorded; prompt spot-checks are logged.	SEO	Search Console Generative AI report; GA4 referral report; manual prompt tests	Day 30; then monthly		v4.3: clarifies rollout-dependent reporting and prevents invented pre-availability baselines. See Sources: Generative AI performance reports.	Not started		Extended
6.5	6 — First 30 days	P1	All sites	Yes	No	Security and manual action monitoring	Check GSC Security Issues and Manual Actions, keep dependencies and CMS patched, and watch for injected spam pages via a site: query on the new domain.	No open security issues or manual actions; patching owner named.	Developer	Search Console; Dependabot/npm audit; site: query	Weekly for 30 days; then monthly		New. A hacked new site loses trust before it ever earns any.	Not started		Core
6.6	6 — First 30 days	P1	Migration / redesign / domain or URL change	Review	No	Post-migration 404, redirect and visibility monitoring	Monitor old high-value URLs, server 404s, redirect chains, crawl rate, indexed old/new URLs, traffic and ranking transitions. Correct missed mappings without redirecting irrelevant URLs to the homepage.	Material missed redirects and parity defects are fixed; visibility changes are explained and monitored through stabilization.	SEO + developer	Server logs; crawler; GSC; analytics	Daily first week; weekly through day 30			Not started		Core
6.7	6 — First 30 days	P1	Sites using analytics or conversion measurement	Review	No	Analytics and conversion reconciliation	Compare analytics conversions and revenue with forms, CRM, orders or other systems of record. Investigate duplicates, missing events, attribution changes and consent-related gaps.	Material differences are quantified, explained and assigned; dashboards use documented definitions.	Analytics + business	Analytics; CRM/order system; reconciliation sheet	Week 1 and day 30			Not started		Extended
6.8	6 — First 30 days	P2	All sites	Yes	No	Backlink profile monitoring	Watch the GSC Links report for unusual patterns on a new domain. Treat disavow as a last resort tied to a manual action or clear negative-SEO campaign — routine disavowing of ordinary spam links does more harm than good.	Link profile reviewed; no action taken unless there is a manual action or clear attack.	SEO	GSC Links report	Day 30; then quarterly		v3: demoted from P1 and reworded. Google ignores most spam links automatically.	Not started		Extended
6.9	6 — First 30 days	P1	E-commerce or multilingual / multi-country sites	Review	No	Conditional template monitoring after launch	Check product/feed/rich-result errors, variant canonicals, hreflang clusters, locale indexation and localized conversions using the reports relevant to the deployed features.	Errors and coverage gaps have owners, priority and retest evidence; no template-wide regression remains unexplained.	SEO + developer + relevant business owner	Search Console; Merchant Center; crawler; analytics	Weekly through day 30			Not started		Extended
7.1	7 — Ongoing	P1	All sites	Yes	No	Ongoing monitoring, incident ownership and response SLA	Maintain alerts for availability, robots/noindex/canonical changes, sitemap failures, organic/conversion anomalies, security issues and expiring DNS/SSL dependencies. Keep severity, owner, response time and rollback steps current.	Alert routes are tested quarterly; incidents have timestamps, owners, decisions, remediation and prevention follow-up.	Operations + developer + SEO + business	Monitoring; Search Console; analytics; incident log	Continuous; test quarterly			Not started		Extended
7.2	7 — Ongoing	P1	All sites	Yes	No	Content decay and refresh	Review pages losing clicks, outdated facts, cannibalization, weak conversions, broken links, and thin content. Refresh/merge/prune with reason.	Dated audit log has decisions per declining URL.	Content + SEO	GSC; crawl	30 / 90 / 180 days			Not started		Core
7.3	7 — Ongoing	P1	All sites	Yes	No	Quarterly technical regression crawl	Re-run the phase 4 crawl, CWV check and schema validation once a quarter and after any major release. Templates rot: new components, third-party scripts and CMS changes reintroduce old problems.	Dated quarterly crawl exists; regressions are ticketed with owners.	SEO + developer	Screaming Frog; PageSpeed; Rich Results Test	Quarterly and after major releases		New. Complements 7.2, which only covers content decay.	Not started		Core
7.4	7 — Ongoing	P1	All sites	Yes	No	Release-based SEO, accessibility and performance regression review	After major template, CMS, navigation, tracking, CDN or design-system releases, rerun the affected crawl, lab budget, structured-data, analytics and accessibility checks rather than waiting for the quarterly cycle.	Every major release links to scoped regression evidence and owned follow-up tickets.	Release owner + SEO + accessibility + analytics	Release checklist; CI; crawler; test tools	After every major release			Not started		Extended
7.5	7 — Ongoing	P1	All sites	Yes	No	Digital PR and legitimate link earning	Earn relevant mentions through original research, tools, expertise, partnerships, communities and legitimate press. Measure relevance, referral value and durable brand impact rather than raw link count.	An owned outreach plan and documented relevant wins exist without paid or manipulative link schemes.	Marketing / founder	CRM; GSC links	Monthly after week 2			Not started		Core
7.6	7 — Ongoing	P1	All sites	Yes	No	Off-page link, review and reputation governance	Prohibit buying or exchanging links for ranking manipulation; qualify sponsored and user-generated links appropriately. Prohibit fabricated reviews, undisclosed incentives and incentives conditioned on positive sentiment; document how legitimate review requests, disclosures, moderation and takedowns work. Monitor material reviews, unlinked brand mentions, profile/citation accuracy and escalation paths for genuine reputation issues.	A written policy, owner and review cadence exist; outreach and partnerships comply with search-engine spam policies; review provenance and moderation are auditable; permitted incentives are disclosed and never tied to sentiment.	Marketing + SEO + legal/compliance	Brand monitoring; review platforms; link reports	Monthly; policy review yearly			Not started		Extended
7.7	7 — Ongoing	P1	All sites	Yes	No	Accessibility regression and content sampling	Sample new and high-traffic templates with automated and manual checks; review keyboard, screen-reader, zoom/reflow, forms, dialogs, media alternatives and content patterns. Track remediation by severity.	Dated samples and issue trends exist; critical barriers trigger immediate incident handling.	Accessibility + design + development + content	axe; keyboard; screen reader; WCAG checklist	Quarterly and after major UI changes			Not started		Extended
7.8	7 — Ongoing	P2	Large / JS-heavy / marketplace	Review	No	Server log-file analysis	Audit Googlebot hits and wasted crawl on large or filter-heavy sites. Skip for small launch unless needed.	Can identify Googlebot fetches, waste, and response errors.	Developer + SEO	Server logs; analyzer	Monthly or when crawl is broken			Not started		Extended
7.9	7 — Ongoing	P1	Sites using structured data, internationalization or merchant feeds	Review	No	Schema, hreflang and merchant-maintenance review	Monitor template errors, eligibility changes, visible-content mismatches, hreflang coverage and feed/page discrepancies. Revalidate after schema, locale, CMS or catalogue changes.	Current reports show no unexplained template-wide defect; retired or unsupported markup is removed deliberately.	SEO + developer + relevant business owner	Search Console; validators; Merchant Center; crawler	Monthly or after relevant changes			Not started		Extended
7.10	7 — Ongoing	P1	All sites	Yes	No	Security, manual actions and dependency maintenance	Monitor Search Console Security Issues and Manual Actions, patch dependencies and CMS components, scan for injected pages and review privileged access. Coordinate security incidents with indexation and reputation response.	No unowned critical vulnerability, security issue or manual action remains; patching and access-review cadence is documented.	Security / developer + SEO	Search Console; dependency scanning; site query; access logs	Monthly and on security advisories			Not started		Core
